constituency,reform_vote_share,is_scotland,leave_vote_share,degree_pct,median_age,median_weekly_wage,claimant_rate,foreign_born_pct,population_density,ethnic_minority_pct,deprivation_score
Richmond Park,6.240781534335792,0,27.76008566,64.1030584126192,41.0,1062.3,2.5,34.6209875,3074.2315697401204,23.562171300000003,9.586350290190078
Rochdale,17.065611771820198,0,57.13937127999999,26.033130783389225,36.0,689.0,7.5,19.6179895,1355.0879318012453,36.939161600000006,38.63208952840733
Rochester and Strood,23.39546457580168,0,63.6449378,26.949331328734072,38.0,820.0,3.9,12.568179700000002,524.1882768470522,14.129053000000004,22.27044077741473
Romford,21.84938815356324,0,68.04112746999999,30.89276024890613,38.0,897.3,4.7,21.7706172,3838.254437859723,27.569129300000096,15.999270267840286
Romsey and Southampton North,11.425830051772044,0,47.65036828,37.73434480092772,43.0,771.6,2.2,14.0008884,193.55894145512917,11.112120700000006,13.005807598371778
Rossendale and Darwen,21.72889865076875,0,59.19040249,30.814510941463475,42.0,707.0,3.5000000000000004,4.6355284,478.5251226044579,5.658328199999996,26.03317841176025
Rother Valley,18.455585464333783,0,66.63027549,25.519780920982665,44.0,660.7,3.0,3.8515469,589.9859541524424,4.753374899999995,23.73921871828897
Rotherham,30.274558648326654,0,67.90627182,21.514582349077585,38.0,692.1,5.6000000000000005,11.4807605,1966.614080856188,15.9482162000001,34.97822707657311
Rugby,16.78434413517264,0,58.869337990000005,33.46575218434515,40.0,879.6,2.8000000000000003,18.5631239,478.24386459475136,14.298935900000098,14.418479747013352
"Ruislip, Northwood and Pinner",9.919092820284131,0,47.79650037,48.93651225484134,42.0,942.2,3.1,33.0786256,2504.156606472113,44.6491098,10.651577922904805
Runcorn and Helsby,18.14135195927548,0,53.74448879,28.77367163081449,43.0,728.0,4.0,4.9627058,467.4273189177529,3.488393700000003,27.237566455666705
Runnymede and Weybridge,13.30279982591756,0,50.05196347,40.94747154319836,41.0,966.4,2.5,20.739044,1073.4286045862782,14.521054099999995,10.787035433721629
